Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
11/13/15,97,55,Baylor,Stephen F. Austin,1,41,15.62,46,9.5,9.23,110.1,95,80.2,63.3,69.6,0.365,0.577,14.8,0.312,0.521,23.4,24,19.06,29,11.8,16.13,119.52,95.2,77.1,69.6,67.6,0.286,0.555,15.5,0.346,0.545,17.6
11/13/15,81,40,Purdue,North Carolina A&T,1,339,-19.05,341,-12.6,-16.78,90.95,112.97,67.8,76,68.7,0.345,0.503,16.9,0.418,0.552,15.4,9,23.85,9,15.9,20.17,117.2,86.85,77.9,65.2,67.8,0.358,0.571,14.9,0.331,0.478,12
11/13/15,77,75,Southern Illinois,Air Force,1,242,-6.92,252,-4.8,-5.51,97,103.51,68.4,72.8,68.9,0.339,0.523,16.8,0.462,0.544,16.9,139,2.8,133,1.9,2.79,105.02,100.2,73.8,69.7,69.9,0.338,0.544,16.8,0.352,0.544,18.9
11/13/15,68,67,Tulane,Alabama A&M,0,301,-13.28,309,-8.4,-13.47,95.84,113.61,68.1,70.4,65.7,0.367,0.51,14.9,0.325,0.537,14.2,200,-3.39,218,-2.8,-0.85,96.92,96.84,65.9,70.5,67.9,0.356,0.484,16.3,0.308,0.523,16.2
11/13/15,75,74,Auburn,Alabama-Birmingham,1,116,5.12,98,4.6,3.5,107.71,101.11,79,70.4,69.4,0.341,0.571,15.4,0.353,0.506,15.4,189,-2.56,180,-0.9,0.15,101.58,100.64,70.7,78.1,72.5,0.439,0.504,16.4,0.355,0.542,15.2
11/13/15,65,42,Rhode Island,American,1,319,-15.34,298,-7.9,-14.18,87.41,107.59,57.6,65.7,62,0.385,0.522,20,0.302,0.545,16.5,82,9.37,75,6.3,7.92,107.47,94.36,69.4,64.8,65.1,0.331,0.535,15.1,0.296,0.522,16.7
11/13/15,58,56,Seattle,Arkansas-Pine Bluff,0,344,-20.69,346,-13.6,-19.31,83.34,109.76,56.6,70.4,65.3,0.387,0.474,20.8,0.327,0.544,17,294,-12.37,305,-8.1,-9.62,92.24,104.29,64.8,66.9,67.3,0.318,0.513,20,0.427,0.511,16.6
11/13/15,79,70,SIU-Edwardsville,Arkansas State,1,251,-7.51,237,-4.2,-7.48,96.68,105.29,73.6,75.9,72.7,0.307,0.514,15.2,0.372,0.502,13.2,,,,,,,,,,,,,,,,
11/13/15,54,53,Bradley,Ball State,1,155,0.84,160,0.5,0.11,101.94,100.53,70.8,66.8,66.2,0.426,0.554,17.2,0.357,0.509,14.7,323,-16.03,330,-10.9,-10.91,86.83,101.75,56,69.9,67.3,0.37,0.473,22.4,0.325,0.536,15.2
11/13/15,83,80,Marquette,Belmont,0,129,3.51,119,2.8,1.19,111.79,108.7,82.4,78.4,72.8,0.504,0.611,17.3,0.349,0.541,14.4,97,7.91,101,4.5,7.66,108.2,96.3,76.3,74.2,72.4,0.303,0.559,17.7,0.346,0.521,16.4
