teamID,metric,value,date
104,KenPom,+29.29,2020-12-16 07:44:04
21,KenPom,+29.22,2020-12-16 07:44:04
335,KenPom,+25.38,2020-12-16 07:44:04
128,KenPom,+24.45,2020-12-16 07:44:04
294,KenPom,+23.77,2020-12-16 07:44:04
343,KenPom,+23.56,2020-12-16 07:44:04
351,KenPom,+23.53,2020-12-16 07:44:04
299,KenPom,+22.72,2020-12-16 07:44:04
134,KenPom,+22.55,2020-12-16 07:44:04
121,KenPom,+22.04,2020-12-16 07:44:04
290,KenPom,+22.03,2020-12-16 07:44:04
115,KenPom,+21.85,2020-12-16 07:44:04
75,KenPom,+21.70,2020-12-16 07:44:04
92,KenPom,+21.45,2020-12-16 07:44:04
171,KenPom,+20.96,2020-12-16 07:44:04
125,KenPom,+20.78,2020-12-16 07:44:04
63,KenPom,+20.68,2020-12-16 07:44:04
336,KenPom,+20.59,2020-12-16 07:44:04
247,KenPom,+20.45,2020-12-16 07:44:04
220,KenPom,+20.33,2020-12-16 07:44:04
172,KenPom,+20.28,2020-12-16 07:44:04
53,KenPom,+20.00,2020-12-16 07:44:04
153,KenPom,+19.87,2020-12-16 07:44:04
88,KenPom,+19.59,2020-12-16 07:44:04
225,KenPom,+19.55,2020-12-16 07:44:04
313,KenPom,+19.15,2020-12-16 07:44:04
286,KenPom,+19.12,2020-12-16 07:44:04
202,KenPom,+19.07,2020-12-16 07:44:04
259,KenPom,+18.72,2020-12-16 07:44:04
140,KenPom,+18.27,2020-12-16 07:44:04
253,KenPom,+17.94,2020-12-16 07:44:04
238,KenPom,+17.94,2020-12-16 07:44:04
160,KenPom,+17.80,2020-12-16 07:44:04
13,KenPom,+17.68,2020-12-16 07:44:04
282,KenPom,+17.64,2020-12-16 07:44:04
221,KenPom,+17.58,2020-12-16 07:44:04
188,KenPom,+17.38,2020-12-16 07:44:04
179,KenPom,+17.37,2020-12-16 07:44:04
321,KenPom,+17.14,2020-12-16 07:44:04
138,KenPom,+16.91,2020-12-16 07:44:04
176,KenPom,+16.80,2020-12-16 07:44:04
337,KenPom,+16.77,2020-12-16 07:44:04
57,KenPom,+16.66,2020-12-16 07:44:04
222,KenPom,+16.54,2020-12-16 07:44:04
11,KenPom,+16.39,2020-12-16 07:44:04
12,KenPom,+16.32,2020-12-16 07:44:04
229,KenPom,+16.21,2020-12-16 07:44:04
