Team,KenPomRank,KenPomVal,BPIrank,BPIval,SRS,o_eff,d_eff,ppg,papg,Pace,Three_Par,True_Shoot,Tov,Opp_Three_Par,Opp_True_Shoot,Opp_Tov,record_date
"['Norfolk St.', 'Norfolk State', 'Norfolk State']",233,-6.28,194,-1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970267
"['North Alabama', 'North Alabama', 'North Alabama']",243,-7.11,192,-1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970273
"['North Carolina', 'North Carolina', 'North Carolina']",22,+19.73,18,9.1,,,,,,,,,,,,,2020-11-25 08:34:57.970158
"['North Carolina A&T', 'North Carolina A&T', 'North Carolina A&T']",298,-10.64,214,-2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970301
"['North Carolina Central', 'North Carolina Central', 'North Carolina Central']",299,-10.66,304,-5.8,,,,,,,,,,,,,2020-11-25 08:34:57.970302
"['North Dakota', 'North Dakota', 'North Dakota']",247,-7.28,311,-6.5,,,,,,,,,,,,,2020-11-25 08:34:57.970275
"['North Dakota St.', 'North Dakota State', 'North Dakota State']",175,-1.69,294,-5.2,,,,,,,,,,,,,2020-11-25 08:34:57.970238
"['North Florida', 'North Florida', 'North Florida']",283,-9.53,229,-2.8,,,,,,,,,,,,,2020-11-25 08:34:57.970293
"['North Texas', 'North Texas', 'North Texas']",104,+6.41,92,3.9,,,,,,,,,,,,,2020-11-25 08:34:57.970200
"['Northeastern', 'Northeastern', 'Northeastern']",170,-1.30,295,-5.3,,,,,,,,,,,,,2020-11-25 08:34:57.970235
"['Northern Arizona', 'Northern Arizona', 'Northern Arizona']",305,-11.19,196,-1.6,,,,,,,,,,,,,2020-11-25 08:34:57.970305
"['Northern Colorado', 'Northern Colorado', 'Northern Colorado']",181,-2.40,230,-2.8,,,,,,,,,,,,,2020-11-25 08:34:57.970241
"['Northern Illinois', 'Northern Illinois', 'Northern Illinois']",214,-5.02,224,-2.6,,,,,,,,,,,,,2020-11-25 08:34:57.970258
"['Northern Iowa', 'Northern Iowa', 'Northern Iowa']",76,+10.82,76,4.9,,,,,,,,,,,,,2020-11-25 08:34:57.970186
"['Northern Kentucky', 'Northern Kentucky', 'Northern Kentucky']",199,-3.35,235,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970250
"['Northwestern', 'Northwestern', 'Northwestern']",70,+11.81,84,4.3,,,,,,,,,,,,,2020-11-25 08:34:57.970183
"['Northwestern St.', 'Northwestern State', 'Northwestern State']",269,-8.54,267,-4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970286
"['Notre Dame', 'Notre Dame', 'Notre Dame']",80,+10.09,56,6.2,,,,,,,,,,,,,2020-11-25 08:34:57.970188
"['Oakland', 'Oakland', 'Oakland']",273,-8.66,299,-5.5,,,,,,,,,,,,,2020-11-25 08:34:57.970288
"['Ohio', 'Ohio', 'Ohio']",131,+3.19,129,1.9,,,,,,,,,,,,,2020-11-25 08:34:57.970215
"['Ohio St.', 'Ohio State', 'Ohio State']",10,+21.80,23,8.6,,,,,,,,,,,,,2020-11-25 08:34:57.970151
"['Oklahoma', 'Oklahoma', 'Oklahoma']",33,+18.00,21,8.7,,,,,,,,,,,,,2020-11-25 08:34:57.970163
"['Oklahoma St.', 'Oklahoma State', 'Oklahoma State']",35,+17.78,93,3.9,,,,,,,,,,,,,2020-11-25 08:34:57.970164
"['Old Dominion', 'Old Dominion', 'Old Dominion']",101,+7.03,141,1.0,,,,,,,,,,,,,2020-11-25 08:34:57.970199
"['Oral Roberts', 'Oral Roberts', 'Oral Roberts']",204,-3.62,202,-1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970253
"['Oregon', 'Oregon', 'Oregon']",20,+19.94,19,8.9,,,,,,,,,,,,,2020-11-25 08:34:57.970157
"['Oregon St.', 'Oregon State', 'Oregon State']",111,+5.45,105,3.2,,,,,,,,,,,,,2020-11-25 08:34:57.970204
"['Pacific', 'Pacific', 'Pacific']",122,+3.90,237,-3.0,,,,,,,,,,,,,2020-11-25 08:34:57.970210
"['Penn', 'Pennsylvania']",197,-3.27,,,,,,,,,,,,,,,2020-11-25 08:34:57.970249
"['Penn St.', 'Penn State', 'Penn State']",64,+13.60,48,6.6,,,,,,,,,,,,,2020-11-25 08:34:57.970180
"['Pepperdine', 'Pepperdine', 'Pepperdine']",106,+6.03,65,5.5,,,,,,,,,,,,,2020-11-25 08:34:57.970201
"['Pittsburgh', 'Pittsburgh', 'Pittsburgh']",84,+9.92,64,5.6,,,,,,,,,,,,,2020-11-25 08:34:57.970190
"['Portland', 'Portland', 'Portland']",274,-8.78,284,-4.9,,,,,,,,,,,,,2020-11-25 08:34:57.970289
"['Portland St.', 'Portland State', 'Portland State']",296,-10.49,287,-5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970300
"['Prairie View A&M', 'Prairie View A&M', 'Prairie View']",319,-12.37,245,-3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970312
"['Presbyterian', 'Presbyterian', 'Presbyterian']",342,-18.57,341,-10.9,,,,,,,,,,,,,2020-11-25 08:34:57.970324
"['Princeton', 'Princeton']",140,+1.89,,,,,,,,,,,,,,,2020-11-25 08:34:57.970219
"['Providence', 'Providence', 'Providence']",56,+14.84,34,7.3,,,,,,,,,,,,,2020-11-25 08:34:57.970175
"['Purdue', 'Purdue', 'Purdue']",25,+19.06,42,6.8,,,,,,,,,,,,,2020-11-25 08:34:57.970159
"['Purdue Fort Wayne', 'Purdue Fort Wayne', 'Purdue-Fort Wayne']",210,-4.03,199,-1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970256
"['Quinnipiac', 'Quinnipiac', 'Quinnipiac']",278,-9.13,292,-5.2,,,,,,,,,,,,,2020-11-25 08:34:57.970291
"['Radford', 'Radford', 'Radford']",309,-11.29,338,-9.3,,,,,,,,,,,,,2020-11-25 08:34:57.970307
"['Rhode Island', 'Rhode Island', 'Rhode Island']",100,+7.07,100,3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970198
"['Rice', 'Rice', 'Rice']",258,-7.87,266,-4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970280
"['Richmond', 'Richmond', 'Richmond']",63,+13.87,27,8.1,,,,,,,,,,,,,2020-11-25 08:34:57.970179
"['Rider', 'Rider', 'Rider']",286,-9.96,262,-3.8,,,,,,,,,,,,,2020-11-25 08:34:57.970295
"['Robert Morris', 'Robert Morris', 'Robert Morris']",228,-5.92,190,-1.3,,,,,,,,,,,,,2020-11-25 08:34:57.970265
"['Rutgers', 'Rutgers', 'Rutgers']",27,+18.73,46,6.7,,,,,,,,,,,,,2020-11-25 08:34:57.970160
"['SIU Edwardsville', 'SIU Edwardsville', 'SIU Edwardsville']",340,-17.39,322,-7.1,,,,,,,,,,,,,2020-11-25 08:34:57.970323
"['SMU', 'SMU', 'Southern Methodist']",58,+14.40,57,6.1,,,,,,,,,,,,,2020-11-25 08:34:57.970176
"['Sacramento St.', 'Sacramento State', 'Sacramento State']",229,-6.01,268,-4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970265
"['Sacred Heart', 'Sacred Heart', 'Sacred Heart']",325,-13.34,290,-5.1,,,,,,,,,,,,,2020-11-25 08:34:57.970315
"[""Saint Joseph's"", ""Saint Joseph's"", ""Saint Joseph's""]",161,-0.62,278,-4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970230
"['Saint Louis', 'Saint Louis', 'Saint Louis']",45,+15.72,75,4.9,,,,,,,,,,,,,2020-11-25 08:34:57.970170
"[""Saint Mary's"", ""Saint Mary's"", ""Saint Mary's (CA)""]",74,+11.20,94,3.8,,,,,,,,,,,,,2020-11-25 08:34:57.970185
"[""Saint Peter's"", ""Saint Peter's"", ""Saint Peter's""]",186,-2.78,305,-5.8,,,,,,,,,,,,,2020-11-25 08:34:57.970243
"['Sam Houston St.', 'Sam Houston State', 'Sam Houston State']",291,-10.12,316,-6.7,,,,,,,,,,,,,2020-11-25 08:34:57.970298
"['Samford', 'Samford', 'Samford']",306,-11.22,250,-3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970305
"['San Diego', 'San Diego', 'San Diego']",152,+0.60,138,1.1,,,,,,,,,,,,,2020-11-25 08:34:57.970225
"['San Diego St.', 'San Diego State', 'San Diego State']",44,+15.84,30,7.9,,,,,,,,,,,,,2020-11-25 08:34:57.970169
"['San Francisco', 'San Francisco', 'San Francisco']",83,+9.95,127,2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970190
"['San Jose St.', 'San José State', 'San Jose State']",264,-8.26,297,-5.3,,,,,,,,,,,,,2020-11-25 08:34:57.970283
"['Santa Clara', 'Santa Clara', 'Santa Clara']",107,+5.98,89,4.0,,,,,,,,,,,,,2020-11-25 08:34:57.970202
"['Seattle', 'Seattle U', 'Seattle']",320,-12.65,261,-3.8,,,,,,,,,,,,,2020-11-25 08:34:57.970312
"['Seton Hall', 'Seton Hall', 'Seton Hall']",50,+15.12,28,8.0,,,,,,,,,,,,,2020-11-25 08:34:57.970172
"['Siena', 'Siena', 'Siena']",138,+2.10,137,1.2,,,,,,,,,,,,,2020-11-25 08:34:57.970218
"['South Alabama', 'South Alabama', 'South Alabama']",207,-3.87,159,0.1,,,,,,,,,,,,,2020-11-25 08:34:57.970254
"['South Carolina', 'South Carolina', 'South Carolina']",61,+14.02,62,6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970178
"['South Carolina St.', 'South Carolina State', 'South Carolina State']",355,-25.61,342,-11.0,,,,,,,,,,,,,2020-11-25 08:34:57.970331
"['South Dakota', 'South Dakota', 'South Dakota']",208,-3.88,326,-7.4,,,,,,,,,,,,,2020-11-25 08:34:57.970255
"['South Dakota St.', 'South Dakota State', 'South Dakota State']",98,+7.53,120,2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970197
"['South Florida', 'South Florida', 'South Florida']",91,+8.53,79,4.6,,,,,,,,,,,,,2020-11-25 08:34:57.970194
"['Southeast Missouri St.', 'Southeast Missouri State', 'Southeast Missouri State']",338,-16.95,302,-5.6,,,,,,,,,,,,,2020-11-25 08:34:57.970322
"['Southeastern Louisiana', 'SE Louisiana', 'Southeastern Louisiana']",328,-14.38,282,-4.8,,,,,,,,,,,,,2020-11-25 08:34:57.970316
"['Southern', 'Southern', 'Southern']",254,-7.63,246,-3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970278
"['Southern Illinois', 'Southern Illinois', 'Southern Illinois']",188,-2.79,293,-5.2,,,,,,,,,,,,,2020-11-25 08:34:57.970244
"['Southern Miss', 'Southern Miss', 'Southern Mississippi']",277,-9.06,227,-2.7,,,,,,,,,,,,,2020-11-25 08:34:57.970290
"['Southern Utah', 'Southern Utah', 'Southern Utah']",187,-2.79,146,0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970244
"['St. Bonaventure', 'St. Bonaventure', 'St. Bonaventure']",75,+11.05,83,4.3,,,,,,,,,,,,,2020-11-25 08:34:57.970186
"['St. Francis NY', 'St. Francis (BKN)', 'St. Francis (NY)']",290,-10.11,243,-3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970297
"['St. Francis PA', 'St. Francis (PA)', 'Saint Francis (PA)']",237,-6.68,260,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970269
"[""St. John's"", ""St. John's"", ""St. John's (NY)""]",71,+11.36,43,6.8,,,,,,,,,,,,,2020-11-25 08:34:57.970183
"['Stanford', 'Stanford', 'Stanford']",34,+17.78,67,5.4,,,,,,,,,,,,,2020-11-25 08:34:57.970164
"['Stephen F. Austin', 'Stephen F. Austin', 'Stephen F. Austin']",149,+1.11,149,0.6,,,,,,,,,,,,,2020-11-25 08:34:57.970224
"['Stetson', 'Stetson', 'Stetson']",232,-6.16,303,-5.6,,,,,,,,,,,,,2020-11-25 08:34:57.970267
"['Stony Brook', 'Stony Brook', 'Stony Brook']",246,-7.27,213,-2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970274
"['Syracuse', 'Syracuse', 'Syracuse']",31,+18.25,11,10.3,,,,,,,,,,,,,2020-11-25 08:34:57.970162
"['TCU', 'TCU', 'Texas Christian']",53,+14.98,69,5.3,,,,,,,,,,,,,2020-11-25 08:34:57.970174
"['Tarleton St.', 'Tarleton', 'Tarleton State']",334,-16.11,343,-11.4,,,,,,,,,,,,,2020-11-25 08:34:57.970320
"['Temple', 'Temple', 'Temple']",147,+1.28,109,2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970223
"['Tennessee', 'Tennessee', 'Tennessee']",19,+19.98,12,10.1,,,,,,,,,,,,,2020-11-25 08:34:57.970156
"['Tennessee Martin', 'UT Martin', 'Tennessee-Martin']",333,-15.81,333,-8.1,,,,,,,,,,,,,2020-11-25 08:34:57.970319
"['Tennessee St.', 'Tennessee State', 'Tennessee State']",295,-10.39,277,-4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970300
"['Tennessee Tech', 'Tennessee Tech', 'Tennessee Tech']",314,-11.70,285,-4.9,,,,,,,,,,,,,2020-11-25 08:34:57.970309
"['Texas', 'Texas', 'Texas']",9,+22.18,14,9.6,,,,,,,,,,,,,2020-11-25 08:34:57.970151
"['Texas A&M', 'Texas A&M', 'Texas A&M']",68,+12.33,81,4.4,,,,,,,,,,,,,2020-11-25 08:34:57.970182
"['Texas A&M Corpus Chris', 'Texas A&M-CC', 'Texas A&M-Corpus Christi']",312,-11.64,298,-5.4,,,,,,,,,,,,,2020-11-25 08:34:57.970308
"['Texas Southern', 'Texas Southern', 'Texas Southern']",234,-6.41,184,-1.0,,,,,,,,,,,,,2020-11-25 08:34:57.970268
"['Texas St.', 'Texas State', 'Texas State']",136,+2.24,234,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970217
"['Texas Tech', 'Texas Tech', 'Texas Tech']",6,+23.64,7,10.9,,,,,,,,,,,,,2020-11-25 08:34:57.970149
"['The Citadel', 'The Citadel', 'Citadel']",329,-14.53,249,-3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970317
"['Toledo', 'Toledo', 'Toledo']",128,+3.52,152,0.4,,,,,,,,,,,,,2020-11-25 08:34:57.970213
"['Towson', 'Towson', 'Towson']",202,-3.50,148,0.6,,,,,,,,,,,,,2020-11-25 08:34:57.970252
"['Troy', 'Troy', 'Troy']",267,-8.48,263,-3.9,,,,,,,,,,,,,2020-11-25 08:34:57.970285
"['Tulane', 'Tulane', 'Tulane']",227,-5.87,180,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970264
"['Tulsa', 'Tulsa', 'Tulsa']",93,+8.03,114,2.6,,,,,,,,,,,,,2020-11-25 08:34:57.970195
"['UAB', 'UAB', 'Alabama-Birmingham']",115,+4.88,101,3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970206
"['UC Davis', 'UC Davis', 'UC-Davis']",191,-2.88,209,-2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970246
"['UC Irvine', 'UC Irvine', 'UC-Irvine']",132,+2.78,155,0.2,,,,,,,,,,,,,2020-11-25 08:34:57.970215
"['UC Riverside', 'UC Riverside', 'UC-Riverside']",215,-5.05,221,-2.5,,,,,,,,,,,,,2020-11-25 08:34:57.970258
"['UC San Diego', 'UC San Diego', 'UC-San Diego']",190,-2.83,339,-9.9,,,,,,,,,,,,,2020-11-25 08:34:57.970245
"['UC Santa Barbara', 'UC Santa Barbara', 'UC-Santa Barbara']",130,+3.23,191,-1.3,,,,,,,,,,,,,2020-11-25 08:34:57.970214
"['UCF', 'UCF', 'Central Florida']",112,+5.39,110,2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970205
"['UCLA', 'UCLA', 'UCLA']",29,+18.38,40,6.9,,,,,,,,,,,,,2020-11-25 08:34:57.970161
"['UMBC', 'UMBC', 'Maryland-Baltimore County']",236,-6.63,182,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970269
"['UMKC', 'UM Kansas City', 'Missouri-Kansas City']",280,-9.24,222,-2.5,,,,,,,,,,,,,2020-11-25 08:34:57.970292
"['UMass Lowell', 'UMass Lowell', 'Massachusetts-Lowell']",235,-6.51,203,-1.8,,,,,,,,,,,,,2020-11-25 08:34:57.970268
"['UNC Asheville', 'UNC Asheville', 'North Carolina-Asheville']",211,-4.24,176,-0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970256
"['UNC Greensboro', 'UNC Greensboro', 'North Carolina-Greensboro']",89,+8.77,78,4.8,,,,,,,,,,,,,2020-11-25 08:34:57.970193
"['UNC Wilmington', 'UNC Wilmington', 'North Carolina-Wilmington']",250,-7.48,281,-4.7,,,,,,,,,,,,,2020-11-25 08:34:57.970276
"['UNLV', 'UNLV', 'Nevada-Las Vegas']",119,+4.46,122,2.2,,,,,,,,,,,,,2020-11-25 08:34:57.970208
"['USC', 'USC', 'Southern California']",48,+15.35,77,4.9,,,,,,,,,,,,,2020-11-25 08:34:57.970171
"['USC Upstate', 'South Carolina Upstate', 'South Carolina Upstate']",271,-8.57,315,-6.6,,,,,,,,,,,,,2020-11-25 08:34:57.970287
"['UT Arlington', 'UT Arlington', 'Texas-Arlington']",159,-0.34,223,-2.5,,,,,,,,,,,,,2020-11-25 08:34:57.970229
"['UT Rio Grande Valley', 'UT Rio Grande Valley', 'Texas-Rio Grande Valley']",238,-6.69,255,-3.6,,,,,,,,,,,,,2020-11-25 08:34:57.970270
"['UTEP', 'UTEP', 'Texas-El Paso']",196,-3.17,118,2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970248
"['UTSA', 'UTSA', 'Texas-San Antonio']",142,+1.83,241,-3.2,,,,,,,,,,,,,2020-11-25 08:34:57.970220
"['Utah', 'Utah', 'Utah']",52,+15.00,45,6.7,,,,,,,,,,,,,2020-11-25 08:34:57.970173
"['Utah St.', 'Utah State', 'Utah State']",69,+12.26,90,4.0,,,,,,,,,,,,,2020-11-25 08:34:57.970182
"['Utah Valley', 'Utah Valley', 'Utah Valley']",284,-9.79,318,-6.8,,,,,,,,,,,,,2020-11-25 08:34:57.970294
"['VCU', 'VCU', 'Virginia Commonwealth']",90,+8.62,132,1.5,,,,,,,,,,,,,2020-11-25 08:34:57.970193
"['VMI', 'VMI', 'VMI']",279,-9.15,306,-5.9,,,,,,,,,,,,,2020-11-25 08:34:57.970291
"['Valparaiso', 'Valparaiso', 'Valparaiso']",148,+1.24,258,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970223
"['Vanderbilt', 'Vanderbilt', 'Vanderbilt']",125,+3.63,107,3.1,,,,,,,,,,,,,2020-11-25 08:34:57.970211
"['Vermont', 'Vermont', 'Vermont']",92,+8.40,96,3.8,,,,,,,,,,,,,2020-11-25 08:34:57.970194
"['Villanova', 'Villanova', 'Villanova']",4,+25.20,1,12.5,,,,,,,,,,,,,2020-11-25 08:34:57.970148
"['Virginia', 'Virginia', 'Virginia']",16,+20.47,5,11.2,,,,,,,,,,,,,2020-11-25 08:34:57.970154
"['Virginia Tech', 'Virginia Tech', 'Virginia Tech']",32,+18.17,33,7.4,,,,,,,,,,,,,2020-11-25 08:34:57.970163
"['Wagner', 'Wagner', 'Wagner']",276,-8.99,271,-4.3,,,,,,,,,,,,,2020-11-25 08:34:57.970290
"['Wake Forest', 'Wake Forest', 'Wake Forest']",127,+3.54,85,4.2,,,,,,,,,,,,,2020-11-25 08:34:57.970212
"['Washington', 'Washington', 'Washington']",73,+11.24,82,4.4,,,,,,,,,,,,,2020-11-25 08:34:57.970185
"['Washington St.', 'Washington State', 'Washington State']",137,+2.24,170,-0.6,,,,,,,,,,,,,2020-11-25 08:34:57.970218
"['Weber St.', 'Weber State', 'Weber State']",292,-10.15,177,-0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970298
"['West Virginia', 'West Virginia', 'West Virginia']",8,+23.12,20,8.8,,,,,,,,,,,,,2020-11-25 08:34:57.970150
"['Western Carolina', 'Western Carolina', 'Western Carolina']",203,-3.53,135,1.3,,,,,,,,,,,,,2020-11-25 08:34:57.970252
"['Western Illinois', 'Western Illinois', 'Western Illinois']",344,-19.68,324,-7.2,,,,,,,,,,,,,2020-11-25 08:34:57.970325
"['Western Kentucky', 'Western Kentucky', 'Western Kentucky']",79,+10.22,49,6.6,,,,,,,,,,,,,2020-11-25 08:34:57.970188
"['Western Michigan', 'Western Michigan', 'Western Michigan']",251,-7.53,195,-1.5,,,,,,,,,,,,,2020-11-25 08:34:57.970277
"['Wichita St.', 'Wichita State', 'Wichita State']",97,+7.59,119,2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970197
"['William & Mary', 'William & Mary', 'William & Mary']",287,-9.97,330,-7.7,,,,,,,,,,,,,2020-11-25 08:34:57.970295
"['Winthrop', 'Winthrop', 'Winthrop']",133,+2.64,117,2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970216
"['Wisconsin', 'Wisconsin', 'Wisconsin']",7,+23.55,13,9.6,,,,,,,,,,,,,2020-11-25 08:34:57.970150
"['Wofford', 'Wofford', 'Wofford']",141,+1.83,160,0.0,,,,,,,,,,,,,2020-11-25 08:34:57.970220
"['Wright St.', 'Wright State', 'Wright State']",113,+5.34,147,0.7,,,,,,,,,,,,,2020-11-25 08:34:57.970205
"['Wyoming', 'Wyoming', 'Wyoming']",180,-2.35,323,-7.1,,,,,,,,,,,,,2020-11-25 08:34:57.970240
"['Xavier', 'Xavier', 'Xavier']",65,+13.54,37,7.0,,,,,,,,,,,,,2020-11-25 08:34:57.970180
"['Yale', 'Yale']",102,+6.85,,,,,,,,,,,,,,,2020-11-25 08:34:57.970199
"['Youngstown St.', 'Youngstown State', 'Youngstown State']",179,-2.34,215,-2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970240
