teamID,metric,value,date
104,KenPom,+29.33,2020-12-02 08:32:56
21,KenPom,+28.08,2020-12-02 08:32:56
335,KenPom,+24.90,2020-12-02 08:32:56
294,KenPom,+24.02,2020-12-02 08:32:56
134,KenPom,+23.77,2020-12-02 08:32:56
75,KenPom,+23.64,2020-12-02 08:32:56
351,KenPom,+23.41,2020-12-02 08:32:56
343,KenPom,+23.02,2020-12-02 08:32:56
299,KenPom,+22.87,2020-12-02 08:32:56
172,KenPom,+22.43,2020-12-02 08:32:56
115,KenPom,+21.81,2020-12-02 08:32:56
128,KenPom,+21.66,2020-12-02 08:32:56
336,KenPom,+21.16,2020-12-02 08:32:56
220,KenPom,+21.08,2020-12-02 08:32:56
202,KenPom,+21.03,2020-12-02 08:32:56
63,KenPom,+20.86,2020-12-02 08:32:56
92,KenPom,+20.02,2020-12-02 08:32:56
290,KenPom,+19.98,2020-12-02 08:32:56
153,KenPom,+19.97,2020-12-02 08:32:56
225,KenPom,+19.94,2020-12-02 08:32:56
138,KenPom,+19.92,2020-12-02 08:32:56
121,KenPom,+19.91,2020-12-02 08:32:56
337,KenPom,+19.83,2020-12-02 08:32:56
88,KenPom,+19.49,2020-12-02 08:32:56
171,KenPom,+19.28,2020-12-02 08:32:56
238,KenPom,+19.08,2020-12-02 08:32:56
125,KenPom,+19.07,2020-12-02 08:32:56
282,KenPom,+18.88,2020-12-02 08:32:56
53,KenPom,+18.58,2020-12-02 08:32:56
222,KenPom,+18.46,2020-12-02 08:32:56
12,KenPom,+18.44,2020-12-02 08:32:56
247,KenPom,+18.34,2020-12-02 08:32:56
221,KenPom,+18.00,2020-12-02 08:32:56
259,KenPom,+17.87,2020-12-02 08:32:56
160,KenPom,+17.75,2020-12-02 08:32:56
175,KenPom,+17.33,2020-12-02 08:32:56
162,KenPom,+17.16,2020-12-02 08:32:56
140,KenPom,+17.02,2020-12-02 08:32:56
313,KenPom,+16.79,2020-12-02 08:32:56
11,KenPom,+16.54,2020-12-02 08:32:56
176,KenPom,+16.47,2020-12-02 08:32:56
188,KenPom,+16.44,2020-12-02 08:32:56
253,KenPom,+16.42,2020-12-02 08:32:56
169,KenPom,+16.28,2020-12-02 08:32:56
321,KenPom,+16.15,2020-12-02 08:32:56
286,KenPom,+16.14,2020-12-02 08:32:56
57,KenPom,+15.88,2020-12-02 08:32:56
264,KenPom,+15.82,2020-12-02 08:32:56
166,KenPom,+15.74,2020-12-02 08:32:56
13,KenPom,+15.67,2020-12-02 08:32:56
244,KenPom,+15.62,2020-12-02 08:32:56
60,KenPom,+15.51,2020-12-02 08:32:56
154,KenPom,+15.49,2020-12-02 08:32:56
249,KenPom,+15.39,2020-12-02 08:32:56
179,KenPom,+15.04,2020-12-02 08:32:56
327,KenPom,+15.00,2020-12-02 08:32:56
4,KenPom,+14.72,2020-12-02 08:32:56
287,KenPom,+14.64,2020-12-02 08:32:56
