teamID,metric,value,date
262,KenPom,+5.78,2020-12-01 19:14:48
223,KenPom,+5.74,2020-12-01 19:14:48
353,KenPom,+5.34,2020-12-01 19:14:48
301,KenPom,+5.18,2020-12-01 19:14:48
97,KenPom,+5.04,2020-12-01 19:14:48
102,KenPom,+4.86,2020-12-01 19:14:48
30,KenPom,+4.78,2020-12-01 19:14:48
77,KenPom,+4.65,2020-12-01 19:14:48
58,KenPom,+4.64,2020-12-01 19:14:48
219,KenPom,+4.64,2020-12-01 19:14:48
41,KenPom,+4.20,2020-12-01 19:14:48
339,KenPom,+4.14,2020-12-01 19:14:48
145,KenPom,+3.88,2020-12-01 19:14:48
164,KenPom,+3.85,2020-12-01 19:14:48
333,KenPom,+3.79,2020-12-01 19:14:48
1,KenPom,+3.55,2020-12-01 19:14:48
34,KenPom,+3.25,2020-12-01 19:14:48
311,KenPom,+3.22,2020-12-01 19:14:48
147,KenPom,+3.17,2020-12-01 19:14:48
20,KenPom,+3.11,2020-12-01 19:14:48
227,KenPom,+3.06,2020-12-01 19:14:48
350,KenPom,+2.64,2020-12-01 19:14:48
73,KenPom,+2.51,2020-12-01 19:14:48
126,KenPom,+2.28,2020-12-01 19:14:48
265,KenPom,+2.11,2020-12-01 19:14:48
156,KenPom,+2.04,2020-12-01 19:14:48
341,KenPom,+1.91,2020-12-01 19:14:48
236,KenPom,+1.89,2020-12-01 19:14:48
352,KenPom,+1.83,2020-12-01 19:14:48
135,KenPom,+1.82,2020-12-01 19:14:48
82,KenPom,+1.67,2020-12-01 19:14:48
3,KenPom,+1.64,2020-12-01 19:14:48
56,KenPom,+1.53,2020-12-01 19:14:48
298,KenPom,+1.52,2020-12-01 19:14:48
18,KenPom,+1.35,2020-12-01 19:14:48
320,KenPom,+1.35,2020-12-01 19:14:48
113,KenPom,+1.34,2020-12-01 19:14:48
289,KenPom,+1.28,2020-12-01 19:14:48
308,KenPom,+1.21,2020-12-01 19:14:48
283,KenPom,+1.11,2020-12-01 19:14:48
167,KenPom,+1.08,2020-12-01 19:14:48
332,KenPom,+1.07,2020-12-01 19:14:48
94,KenPom,+0.66,2020-12-01 19:14:48
258,KenPom,+0.59,2020-12-01 19:14:48
110,KenPom,+0.55,2020-12-01 19:14:48
81,KenPom,+0.37,2020-12-01 19:14:48
323,KenPom,+0.33,2020-12-01 19:14:48
182,KenPom,-0.15,2020-12-01 19:14:48
255,KenPom,-0.29,2020-12-01 19:14:48
326,KenPom,-0.35,2020-12-01 19:14:48
252,KenPom,-0.36,2020-12-01 19:14:48
29,KenPom,-0.41,2020-12-01 19:14:48
106,KenPom,-0.56,2020-12-01 19:14:48
141,KenPom,-0.79,2020-12-01 19:14:48
74,KenPom,-0.79,2020-12-01 19:14:48
170,KenPom,-0.83,2020-12-01 19:14:48
150,KenPom,-0.84,2020-12-01 19:14:48
79,KenPom,-0.84,2020-12-01 19:14:48
180,KenPom,-1.20,2020-12-01 19:14:48
55,KenPom,-1.29,2020-12-01 19:14:48
209,KenPom,-1.30,2020-12-01 19:14:48
78,KenPom,-1.44,2020-12-01 19:14:48
137,KenPom,-1.68,2020-12-01 19:14:48
47,KenPom,-1.76,2020-12-01 19:14:48
28,KenPom,-1.82,2020-12-01 19:14:48
190,KenPom,-1.83,2020-12-01 19:14:48
146,KenPom,-1.97,2020-12-01 19:14:48
93,KenPom,-2.12,2020-12-01 19:14:48
309,KenPom,-2.19,2020-12-01 19:14:48
344,KenPom,-2.32,2020-12-01 19:14:48
49,KenPom,-2.34,2020-12-01 19:14:48
357,KenPom,-2.34,2020-12-01 19:14:48
277,KenPom,-2.39,2020-12-01 19:14:48
211,KenPom,-2.40,2020-12-01 19:14:48
181,KenPom,-2.46,2020-12-01 19:14:48
354,KenPom,-2.61,2020-12-01 19:14:48
275,KenPom,-2.79,2020-12-01 19:14:48
310,KenPom,-2.82,2020-12-01 19:14:48
10,KenPom,-2.85,2020-12-01 19:14:48
80,KenPom,-2.94,2020-12-01 19:14:48
307,KenPom,-2.96,2020-12-01 19:14:48
206,KenPom,-2.98,2020-12-01 19:14:48
214,KenPom,-2.98,2020-12-01 19:14:48
38,KenPom,-3.01,2020-12-01 19:14:48
85,KenPom,-3.12,2020-12-01 19:14:48
183,KenPom,-3.15,2020-12-01 19:14:48
325,KenPom,-3.17,2020-12-01 19:14:48
228,KenPom,-3.27,2020-12-01 19:14:48
62,KenPom,-3.33,2020-12-01 19:14:48
189,KenPom,-3.37,2020-12-01 19:14:48
50,KenPom,-3.55,2020-12-01 19:14:48
192,KenPom,-3.76,2020-12-01 19:14:48
173,KenPom,-3.96,2020-12-01 19:14:48
98,KenPom,-4.17,2020-12-01 19:14:48
90,KenPom,-4.20,2020-12-01 19:14:48
224,KenPom,-4.35,2020-12-01 19:14:48
101,KenPom,-4.38,2020-12-01 19:14:48
83,KenPom,-4.40,2020-12-01 19:14:48
314,KenPom,-4.43,2020-12-01 19:14:48
239,KenPom,-4.70,2020-12-01 19:14:48
316,KenPom,-4.75,2020-12-01 19:14:48
194,KenPom,-4.77,2020-12-01 19:14:48
266,KenPom,-4.94,2020-12-01 19:14:48
54,KenPom,-5.01,2020-12-01 19:14:48
324,KenPom,-5.02,2020-12-01 19:14:48
148,KenPom,-5.13,2020-12-01 19:14:48
195,KenPom,-5.13,2020-12-01 19:14:48
304,KenPom,-5.13,2020-12-01 19:14:48
71,KenPom,-5.14,2020-12-01 19:14:48
200,KenPom,-5.26,2020-12-01 19:14:48
68,KenPom,-5.37,2020-12-01 19:14:48
297,KenPom,-5.39,2020-12-01 19:14:48
199,KenPom,-5.43,2020-12-01 19:14:48
302,KenPom,-5.50,2020-12-01 19:14:48
46,KenPom,-5.59,2020-12-01 19:14:48
317,KenPom,-5.59,2020-12-01 19:14:48
319,KenPom,-5.63,2020-12-01 19:14:48
43,KenPom,-5.69,2020-12-01 19:14:48
269,KenPom,-5.78,2020-12-01 19:14:48
31,KenPom,-5.84,2020-12-01 19:14:48
142,KenPom,-5.84,2020-12-01 19:14:48
123,KenPom,-5.87,2020-12-01 19:14:48
246,KenPom,-5.92,2020-12-01 19:14:48
212,KenPom,-5.92,2020-12-01 19:14:48
250,KenPom,-6.01,2020-12-01 19:14:48
16,KenPom,-6.04,2020-12-01 19:14:48
111,KenPom,-6.13,2020-12-01 19:14:48
284,KenPom,-6.16,2020-12-01 19:14:48
347,KenPom,-6.21,2020-12-01 19:14:48
280,KenPom,-6.48,2020-12-01 19:14:48
33,KenPom,-6.95,2020-12-01 19:14:48
159,KenPom,-7.10,2020-12-01 19:14:48
201,KenPom,-7.10,2020-12-01 19:14:48
243,KenPom,-7.11,2020-12-01 19:14:48
285,KenPom,-7.28,2020-12-01 19:14:48
91,KenPom,-7.28,2020-12-01 19:14:48
96,KenPom,-7.32,2020-12-01 19:14:48
122,KenPom,-7.34,2020-12-01 19:14:48
155,KenPom,-7.38,2020-12-01 19:14:48
240,KenPom,-7.49,2020-12-01 19:14:48
198,KenPom,-7.54,2020-12-01 19:14:48
42,KenPom,-7.59,2020-12-01 19:14:48
44,KenPom,-7.78,2020-12-01 19:14:48
9,KenPom,-7.90,2020-12-01 19:14:48
186,KenPom,-7.95,2020-12-01 19:14:48
32,KenPom,-8.00,2020-12-01 19:14:48
205,KenPom,-8.01,2020-12-01 19:14:48
2,KenPom,-8.11,2020-12-01 19:14:48
87,KenPom,-8.18,2020-12-01 19:14:48
118,KenPom,-8.21,2020-12-01 19:14:48
15,KenPom,-8.22,2020-12-01 19:14:48
261,KenPom,-8.26,2020-12-01 19:14:48
143,KenPom,-8.32,2020-12-01 19:14:48
151,KenPom,-8.46,2020-12-01 19:14:48
127,KenPom,-8.47,2020-12-01 19:14:48
274,KenPom,-8.59,2020-12-01 19:14:48
331,KenPom,-8.68,2020-12-01 19:14:48
132,KenPom,-8.78,2020-12-01 19:14:48
64,KenPom,-8.83,2020-12-01 19:14:48
338,KenPom,-8.99,2020-12-01 19:14:48
86,KenPom,-9.03,2020-12-01 19:14:48
48,KenPom,-9.11,2020-12-01 19:14:48
322,KenPom,-9.17,2020-12-01 19:14:48
133,KenPom,-9.21,2020-12-01 19:14:48
216,KenPom,-9.27,2020-12-01 19:14:48
36,KenPom,-9.36,2020-12-01 19:14:48
59,KenPom,-9.39,2020-12-01 19:14:48
139,KenPom,-9.41,2020-12-01 19:14:48
107,KenPom,-9.42,2020-12-01 19:14:48
349,KenPom,-9.44,2020-12-01 19:14:48
263,KenPom,-9.73,2020-12-01 19:14:48
203,KenPom,-9.75,2020-12-01 19:14:48
315,KenPom,-9.77,2020-12-01 19:14:48
174,KenPom,-9.92,2020-12-01 19:14:48
245,KenPom,-9.96,2020-12-01 19:14:48
112,KenPom,-10.00,2020-12-01 19:14:48
158,KenPom,-10.02,2020-12-01 19:14:48
22,KenPom,-10.09,2020-12-01 19:14:48
279,KenPom,-10.11,2020-12-01 19:14:48
204,KenPom,-10.12,2020-12-01 19:14:48
342,KenPom,-10.15,2020-12-01 19:14:48
303,KenPom,-10.16,2020-12-01 19:14:48
131,KenPom,-10.21,2020-12-01 19:14:48
329,KenPom,-10.27,2020-12-01 19:14:48
232,KenPom,-10.32,2020-12-01 19:14:48
70,KenPom,-10.32,2020-12-01 19:14:48
292,KenPom,-10.39,2020-12-01 19:14:48
233,KenPom,-10.49,2020-12-01 19:14:48
144,KenPom,-10.52,2020-12-01 19:14:48
276,KenPom,-10.60,2020-12-01 19:14:48
7,KenPom,-10.72,2020-12-01 19:14:48
117,KenPom,-10.81,2020-12-01 19:14:48
207,KenPom,-10.84,2020-12-01 19:14:48
168,KenPom,-10.99,2020-12-01 19:14:48
241,KenPom,-11.02,2020-12-01 19:14:48
40,KenPom,-11.08,2020-12-01 19:14:48
109,KenPom,-11.18,2020-12-01 19:14:48
210,KenPom,-11.19,2020-12-01 19:14:48
130,KenPom,-11.24,2020-12-01 19:14:48
218,KenPom,-11.30,2020-12-01 19:14:48
234,KenPom,-11.59,2020-12-01 19:14:48
184,KenPom,-11.71,2020-12-01 19:14:48
256,KenPom,-11.99,2020-12-01 19:14:48
257,KenPom,-12.15,2020-12-01 19:14:48
293,KenPom,-12.36,2020-12-01 19:14:48
120,KenPom,-12.44,2020-12-01 19:14:48
89,KenPom,-12.52,2020-12-01 19:14:48
296,KenPom,-12.68,2020-12-01 19:14:48
197,KenPom,-12.70,2020-12-01 19:14:48
72,KenPom,-12.83,2020-12-01 19:14:48
84,KenPom,-12.83,2020-12-01 19:14:48
251,KenPom,-13.21,2020-12-01 19:14:48
37,KenPom,-13.31,2020-12-01 19:14:48
39,KenPom,-13.74,2020-12-01 19:14:48
61,KenPom,-14.02,2020-12-01 19:14:48
149,KenPom,-14.24,2020-12-01 19:14:48
165,KenPom,-14.42,2020-12-01 19:14:48
300,KenPom,-14.53,2020-12-01 19:14:48
105,KenPom,-14.66,2020-12-01 19:14:48
273,KenPom,-14.96,2020-12-01 19:14:48
185,KenPom,-15.52,2020-12-01 19:14:48
272,KenPom,-15.74,2020-12-01 19:14:48
291,KenPom,-15.81,2020-12-01 19:14:48
288,KenPom,-16.12,2020-12-01 19:14:48
248,KenPom,-16.88,2020-12-01 19:14:48
108,KenPom,-16.91,2020-12-01 19:14:48
119,KenPom,-17.23,2020-12-01 19:14:48
45,KenPom,-17.70,2020-12-01 19:14:48
5,KenPom,-17.77,2020-12-01 19:14:48
8,KenPom,-17.98,2020-12-01 19:14:48
25,KenPom,-18.39,2020-12-01 19:14:48
235,KenPom,-18.57,2020-12-01 19:14:48
116,KenPom,-19.64,2020-12-01 19:14:48
345,KenPom,-19.68,2020-12-01 19:14:48
114,KenPom,-19.74,2020-12-01 19:14:48
157,KenPom,-20.38,2020-12-01 19:14:48
124,KenPom,-20.45,2020-12-01 19:14:48
24,KenPom,-20.66,2020-12-01 19:14:48
6,KenPom,-21.70,2020-12-01 19:14:48
14,KenPom,-21.83,2020-12-01 19:14:48
136,KenPom,-22.02,2020-12-01 19:14:48
69,KenPom,-22.33,2020-12-01 19:14:48
163,KenPom,-25.73,2020-12-01 19:14:48
268,KenPom,-25.88,2020-12-01 19:14:48
51,KenPom,-25.88,2020-12-01 19:14:48
178,KenPom,-31.62,2020-12-01 19:14:48
335,BPI,12.5,2020-12-01 19:14:48
21,BPI,12.4,2020-12-01 19:14:48
128,BPI,11.9,2020-12-01 19:14:48
336,BPI,11.6,2020-12-01 19:14:48
104,BPI,11.5,2020-12-01 19:14:48
299,BPI,11.1,2020-12-01 19:14:48
172,BPI,10.7,2020-12-01 19:14:48
134,BPI,10.5,2020-12-01 19:14:48
75,BPI,10.4,2020-12-01 19:14:48
63,BPI,10.2,2020-12-01 19:14:48
290,BPI,10.1,2020-12-01 19:14:48
115,BPI,9.9,2020-12-01 19:14:48
294,BPI,9.8,2020-12-01 19:14:48
286,BPI,9.7,2020-12-01 19:14:48
351,BPI,9.6,2020-12-01 19:14:48
88,BPI,9.5,2020-12-01 19:14:48
202,BPI,9.5,2020-12-01 19:14:48
188,BPI,9.4,2020-12-01 19:14:48
121,BPI,9.2,2020-12-01 19:14:48
343,BPI,8.9,2020-12-01 19:14:48
225,BPI,8.9,2020-12-01 19:14:48
140,BPI,8.8,2020-12-01 19:14:48
221,BPI,8.7,2020-12-01 19:14:48
171,BPI,8.6,2020-12-01 19:14:48
244,BPI,8.6,2020-12-01 19:14:48
220,BPI,8.5,2020-12-01 19:14:48
125,BPI,8.5,2020-12-01 19:14:48
19,BPI,8.5,2020-12-01 19:14:48
264,BPI,8.3,2020-12-01 19:14:48
259,BPI,8.1,2020-12-01 19:14:48
337,BPI,7.9,2020-12-01 19:14:48
12,BPI,7.5,2020-12-01 19:14:48
53,BPI,7.5,2020-12-01 19:14:48
57,BPI,7.5,2020-12-01 19:14:48
60,BPI,7.3,2020-12-01 19:14:48
237,BPI,7.2,2020-12-01 19:14:48
13,BPI,7.2,2020-12-01 19:14:48
129,BPI,7.1,2020-12-01 19:14:48
65,BPI,6.9,2020-12-01 19:14:48
313,BPI,6.9,2020-12-01 19:14:48
355,BPI,6.8,2020-12-01 19:14:48
327,BPI,6.7,2020-12-01 19:14:48
247,BPI,6.7,2020-12-01 19:14:48
160,BPI,6.6,2020-12-01 19:14:48
346,BPI,6.6,2020-12-01 19:14:48
229,BPI,6.6,2020-12-01 19:14:48
238,BPI,6.6,2020-12-01 19:14:48
169,BPI,6.6,2020-12-01 19:14:48
175,BPI,6.6,2020-12-01 19:14:48
249,BPI,6.5,2020-12-01 19:14:48
92,BPI,6.4,2020-12-01 19:14:48
154,BPI,6.4,2020-12-01 19:14:48
176,BPI,6.4,2020-12-01 19:14:48
166,BPI,6.4,2020-12-01 19:14:48
153,BPI,6.4,2020-12-01 19:14:48
76,BPI,6.3,2020-12-01 19:14:48
217,BPI,6.3,2020-12-01 19:14:48
281,BPI,6.3,2020-12-01 19:14:48
138,BPI,6.3,2020-12-01 19:14:48
162,BPI,6.3,2020-12-01 19:14:48
177,BPI,5.7,2020-12-01 19:14:48
35,BPI,5.7,2020-12-01 19:14:48
179,BPI,5.6,2020-12-01 19:14:48
